,Unnamed: 0,Engine_Cylinders,Engine_Size_L,City_MPG,Highway_MPG,Combined_MPG,CO2_Emissions_g_per_mile,EV_Range_miles,Vehicle_Category,Fuel_Efficiency_Score,Power Proxy,CO2_per_MPG
0,0,6.0,3.8,16,23,19,472,0,4,19.333333333333332,22.799999999999997,24.842105263157894
1,1,5.0,2.5,20,28,23,378,0,4,23.666666666666668,12.5,16.434782608695652
2,2,4.0,2.5,26,37,30,298,0,4,31.0,10.0,9.933333333333334
3,3,4.0,2.5,28,39,32,280,0,4,33.0,10.0,8.75
4,4,4.0,2.5,25,35,29,308,0,4,29.666666666666668,10.0,10.620689655172415
5,5,6.0,3.8,18,26,21,428,0,4,21.666666666666668,22.799999999999997,20.38095238095238
6,6,8.0,5.0,15,23,18,494,0,4,18.666666666666668,40.0,27.444444444444443
7,7,6.0,3.3,18,25,21,427,0,4,21.333333333333332,19.799999999999997,20.333333333333332
8,8,4.0,2.0,26,32,28,311,0,4,28.666666666666668,8.0,11.107142857142858
9,9,4.0,2.0,26,34,29,306,0,4,29.666666666666668,8.0,10.551724137931034
10,10,4.0,2.5,25,31,27,328,0,4,27.666666666666668,10.0,12.148148148148149
11,11,4.0,2.4,19,25,21,409,0,4,21.666666666666668,9.6,19.476190476190474
12,12,6.0,3.3,18,23,20,449,0,4,20.333333333333332,19.799999999999997,22.45
13,13,4.0,2.0,25,30,27,324,0,4,27.333333333333332,8.0,12.0
14,14,4.0,2.5,24,29,26,341,0,4,26.333333333333332,10.0,13.115384615384615
15,15,6.0,3.0,17,24,20,434,0,4,20.333333333333332,18.0,21.7
16,16,6.0,3.0,17,24,20,434,0,4,20.333333333333332,18.0,21.7
17,17,4.0,2.0,22,31,26,345,0,4,26.333333333333332,8.0,13.26923076923077
18,18,4.0,2.0,22,31,26,345,0,4,26.333333333333332,8.0,13.26923076923077
19,19,4.0,2.0,21,28,24,374,0,4,24.333333333333332,8.0,15.583333333333334
20,20,4.0,2.5,17,23,19,459,0,4,19.666666666666668,10.0,24.157894736842106
21,21,6.0,3.0,19,28,22,396,0,4,23.0,18.0,18.0
22,22,6.0,3.0,19,28,22,396,0,4,23.0,18.0,18.0
23,23,5.0,2.5,20,28,23,378,0,4,23.666666666666668,12.5,16.434782608695652
24,24,6.0,3.0,19,28,22,396,0,4,23.0,18.0,18.0
25,25,8.0,5.3,16,23,19,478,0,4,19.333333333333332,42.4,25.157894736842106
26,26,8.0,5.3,16,23,19,478,0,4,19.333333333333332,42.4,25.157894736842106
27,27,8.0,5.3,16,22,18,490,0,4,18.666666666666668,42.4,27.22222222222222
28,28,8.0,5.3,16,22,18,490,0,4,18.666666666666668,42.4,27.22222222222222
29,29,4.0,2.4,20,27,23,390,0,4,23.333333333333332,9.6,16.956521739130434
